#ThreadID Size Duration #authors #distinctLinks
1045 7 122440.000000 4 3
1046 1 0.000000 2 1
1049 3 55320.000000 3 2
1050 1 0.000000 2 1
1052 1 0.000000 2 1
1053 1 0.000000 2 1
1054 1 0.000000 2 1
1057 1 0.000000 2 1
1062 1 0.000000 2 1
1063 3 54574.000000 4 3
1064 2 1042.000000 3 2
1068 1 0.000000 2 1
1072 1 0.000000 2 1
1075 8 281476.000000 4 3
1078 5 95152.000000 5 4
1079 3 132902.000000 3 2
1080 1 0.000000 2 1
1081 4 224639.000000 4 3
1082 2 4736.000000 3 2
1086 1 0.000000 2 1
1092 6 11861.000000 5 6
1093 1 0.000000 2 1
1094 1 0.000000 2 1
1096 1 0.000000 2 1
1098 3 75337.000000 3 2
1100 3 214733.000000 4 3
1101 6 173857.000000 6 5
1102 8 33676.000000 9 8
1107 1 0.000000 2 1
1110 2 66021.000000 3 2
1116 1 0.000000 2 1
1117 3 29522.000000 4 3
1119 2 93455.000000 2 1
1120 1 0.000000 2 1
1122 19 1787417.000000 13 13
1125 1 0.000000 2 1
1126 2 1292.000000 3 2
1128 3 10912.000000 4 3
1129 1 0.000000 2 1
1130 3 11342.000000 3 2
1131 5 635008.000000 3 2
1134 3 115788.000000 4 3
1135 2 1888.000000 2 1
1137 2 10225.000000 3 2
1138 1 0.000000 2 1
1139 4 75355.000000 4 4
1140 1 0.000000 2 1
1141 1 0.000000 2 1
1143 2 36720.000000 2 1
1145 1 0.000000 2 1
1147 2 94510.000000 3 2
1148 3 3642.000000 3 2
1149 2 6849.000000 3 2
1151 2 79653.000000 3 2
1155 2 8546.000000 3 2
1157 1 0.000000 2 1
1158 1 0.000000 2 1
1159 3 3298.000000 2 1
1161 1 0.000000 2 1
1163 1 0.000000 2 1
1165 7 421505.000000 8 7
1167 2 22623.000000 3 2
1168 1 0.000000 2 1
1172 1 0.000000 2 1
1174 4 23379.000000 2 1
1175 2 209895.000000 2 1
1177 4 10508.000000 4 3
1178 3 170366.000000 3 3
1179 9 240727.000000 5 4
1189 2 16376.000000 3 2
1192 1 0.000000 2 1
1194 4 8363.000000 3 2
1195 9 127496.000000 6 5
1197 2 1037.000000 2 1
1200 1 0.000000 2 1
1202 1 0.000000 2 1
1203 1 0.000000 2 1
1205 4 31114.000000 3 2
1208 1 0.000000 2 1
1209 1 0.000000 2 1
1212 1 0.000000 2 1
1214 4 4198.000000 4 4
1215 3 429723.000000 4 3
1217 3 13992.000000 3 2
1218 1 0.000000 2 1
1219 2 74650.000000 2 1
1220 2 40533.000000 3 2
1222 3 41842.000000 4 3
1224 1 0.000000 2 1
1225 1 0.000000 2 1
1226 1 0.000000 2 1
1227 4 64078.000000 4 3
1229 1 0.000000 2 1
1232 4 1398242.000000 3 2
1233 1 0.000000 2 1
1242 4 65677.000000 5 4
1243 3 50175.000000 4 3
1245 2 2640.000000 3 2
1249 2 2419.000000 3 2
1250 1 0.000000 2 1
1251 1 0.000000 2 1
1253 2 891.000000 3 2
1255 1 0.000000 2 1
1259 1 0.000000 2 1
1262 1 0.000000 2 1
1265 1 0.000000 2 1
1266 3 40619.000000 4 3
1267 1 0.000000 2 1
1269 1 0.000000 2 1
1271 1 0.000000 2 1
1272 2 3794.000000 3 2
1273 1 0.000000 2 1
1276 1 0.000000 2 1
1278 1 0.000000 2 1
1280 4 3327.000000 5 4
1281 3 12627.000000 3 2
1283 1 0.000000 2 1
1284 1 0.000000 2 1
1286 3 205452.000000 2 1
1290 1 0.000000 2 1
1291 2 2771.000000 2 1
1292 4 40376.000000 3 3
1293 1 0.000000 2 1
1294 1 0.000000 2 1
1295 1 0.000000 2 1
1298 2 2236.000000 3 2
1299 1 0.000000 2 1
1301 2 3008.000000 3 2
1302 2 71379.000000 3 2
1304 1 0.000000 2 1
1305 2 77534.000000 3 2
1306 5 6590.000000 5 5
1307 1 0.000000 2 1
1310 2 1331.000000 2 1
1311 8 525167.000000 4 3
1313 1 0.000000 2 1
1314 1 0.000000 2 1
1315 3 83310.000000 3 3
1318 2 34227.000000 3 2
1319 2 39020.000000 3 2
1322 1 0.000000 2 1
1328 2 16490.000000 2 1
1331 7 18696.000000 5 4
1332 1 0.000000 2 1
1334 1 0.000000 2 1
1337 1 0.000000 2 1
1344 2 65772.000000 2 1
1347 1 0.000000 2 1
1348 2 4814.000000 3 2
1349 2 81652.000000 2 1
1350 1 0.000000 2 1
1352 1 0.000000 2 1
1353 1 0.000000 2 1
1355 2 122662.000000 2 1
1357 1 0.000000 2 1
1360 3 12749.000000 3 2
1361 1 0.000000 2 1
1364 1 0.000000 2 1
1366 1 0.000000 2 1
1368 1 0.000000 2 1
1369 16 442278.000000 9 8
1370 1 0.000000 2 1
1374 1 0.000000 2 1
1376 2 1225.000000 3 2
1381 18 603636.000000 8 8
1382 5 32257.000000 2 1
1384 1 0.000000 2 1
1385 1 0.000000 2 1
1387 2 1088.000000 3 2
1392 4 104503.000000 5 4
1393 5 211118.000000 6 5
1394 1 0.000000 2 1
1395 1 0.000000 2 1
1396 2 109.000000 3 2
1398 1 0.000000 2 1
1399 1 0.000000 2 1
1400 1 0.000000 2 1
1401 1 0.000000 2 1
1402 1 0.000000 2 1
1404 2 3673.000000 3 2
1410 1 0.000000 2 1
1411 8 448816.000000 7 7
1413 2 13988.000000 3 2
1414 1 0.000000 2 1
1416 1 0.000000 2 1
1419 2 8827.000000 2 1
1421 1 0.000000 2 1
1423 2 24578.000000 3 2
1424 21 280072.000000 15 19
1425 4 134997.000000 3 2
1428 3 15930.000000 2 1
1433 2 10271289.000000 3 2
1434 2 33435.000000 3 2
1435 1 0.000000 2 1
1440 2 74861.000000 2 1
1442 1 0.000000 2 1
1443 2 21840.000000 2 1
1444 2 3260.000000 3 2
1446 2 2391.000000 2 1
1447 1 0.000000 2 1
1450 5 50363.000000 6 5
1453 1 0.000000 2 1
1454 19 544955.000000 14 14
1455 1 0.000000 2 1
1456 1 0.000000 2 1
1463 5 148127.000000 3 2
1464 1 0.000000 2 1
1467 7 302762.000000 8 7
1472 1 0.000000 2 1
1474 2 9385.000000 3 2
1477 1 0.000000 2 1
1482 2 289.000000 2 1
1484 2 19715.000000 2 1
1485 2 2110.000000 3 2
1486 12 98006.000000 11 11
1489 3 63320.000000 2 1
1496 1 0.000000 2 1
1497 12 150360.000000 8 9
1498 1 0.000000 2 1
1499 1 0.000000 2 1
1500 2 465319.000000 3 2
1503 2 27423.000000 2 1
1504 2 109586.000000 3 2
1505 6 94407.000000 6 6
1510 1 0.000000 2 1
1515 1 0.000000 2 1
1517 1 0.000000 2 1
1518 3 103392.000000 3 2
1519 1 0.000000 2 1
1521 4 1319.000000 3 2
1524 1 0.000000 2 1
1525 4 62275.000000 4 3
1527 1 0.000000 2 1
1531 1 0.000000 2 1
1533 2 10668.000000 2 1
1534 4 10972.000000 3 2
1535 9 332379.000000 6 6
1537 7 134403.000000 5 4
1538 5 51692.000000 6 5
1544 1 0.000000 2 1
1545 2 172.000000 3 2
1546 1 0.000000 2 1
1547 2 56.000000 3 2
1548 2 7857.000000 2 1
1558 1 0.000000 2 1
1559 1 0.000000 2 1
1560 2 2115.000000 2 1
1562 3 72622.000000 4 3
1564 1 0.000000 2 1
1566 1 0.000000 2 1
1567 2 4441.000000 2 1
1571 1 0.000000 2 1
1577 6 45722.000000 4 3
1578 1 0.000000 2 1
1579 3 76815.000000 4 3
1582 1 0.000000 2 1
1584 1 0.000000 2 1
1586 3 2993.000000 3 2
1587 2 184344.000000 3 2
1588 4 209032.000000 4 3
1590 1 0.000000 2 1
1592 1 0.000000 2 1
1595 6 83963.000000 5 4
1597 1 0.000000 2 1
1599 1 0.000000 2 1
1601 1 0.000000 2 1
1603 2 654.000000 3 2
1604 1 0.000000 2 1
1605 1 0.000000 2 1
1608 2 528.000000 2 1
1609 6 186042.000000 4 3
1611 2 6778.000000 3 2
1613 4 56286.000000 3 2
1614 1 0.000000 2 1
1617 2 7695.000000 3 2
1622 11 137527.000000 5 4
1623 1 0.000000 2 1
1624 1 0.000000 2 1
1625 1 0.000000 2 1
1626 1 0.000000 2 1
1627 4 54999.000000 5 4
1628 1 0.000000 2 1
1630 9 277639.000000 4 3
1632 1 0.000000 2 1
1634 4 523584.000000 4 3
1636 2 159062.000000 3 2
1637 4 201691.000000 5 4
1638 1 0.000000 2 1
1642 1 0.000000 2 1
1644 1 0.000000 2 1
1645 1 0.000000 2 1
1646 4 49070.000000 4 3
1647 1 0.000000 2 1
1648 4 52473.000000 5 4
1649 2 3473.000000 3 2
1650 1 0.000000 2 1
1654 2 137.000000 3 2
1655 1 0.000000 2 1
1660 2 15465.000000 3 2
1663 2 44031.000000 3 2
1664 2 4927.000000 3 2
1665 1 0.000000 2 1
1666 1 0.000000 2 1
1669 1 0.000000 2 1
1673 2 80770.000000 3 2
1675 1 0.000000 2 1
1678 3 151080.000000 4 3
1679 1 0.000000 2 1
1680 1 0.000000 2 1
1681 2 16549.000000 3 2
1682 2 4496.000000 3 2
1686 1 0.000000 2 1
1688 3 22154.000000 3 2
1690 1 0.000000 2 1
1691 2 151761.000000 3 2
1692 1 0.000000 2 1
1693 2 402.000000 3 2
1695 5 34423.000000 6 5
1698 1 0.000000 2 1
1702 1 0.000000 2 1
1703 1 0.000000 2 1
1704 2 4818.000000 3 2
1705 55 348339.000000 15 24
1708 5 91808.000000 4 3
1709 1 0.000000 2 1
1710 2 3001.000000 3 2
1712 31 187556.000000 9 13
1713 1 0.000000 2 1
1714 2 12189.000000 2 1
1715 1 0.000000 2 1
1717 1 0.000000 2 1
1718 4 16623.000000 5 4
1719 1 0.000000 2 1
1721 3 264235.000000 4 3
1722 2 41767.000000 3 2
1723 1 0.000000 2 1
1727 1 0.000000 2 1
1728 1 0.000000 2 1
1729 3 38237.000000 2 1
1730 1 0.000000 2 1
1731 2 549.000000 3 2
1734 2 303572.000000 3 2
1736 4 83390.000000 4 3
1739 1 0.000000 2 1
1740 3 192956.000000 4 3
1741 3 470.000000 2 1
1742 3 21857.000000 2 1
1744 2 32739.000000 3 2
1747 5 74630.000000 6 5
1750 2 1492.000000 3 2
1752 1 0.000000 2 1
1753 1 0.000000 2 1
1754 1 0.000000 2 1
1756 1 0.000000 2 1
1761 1 0.000000 2 1
1762 2 30782.000000 2 1
1765 11 178021.000000 4 3
1770 1 0.000000 2 1
1776 1 0.000000 2 1
1777 1 0.000000 2 1
1778 1 0.000000 2 1
1780 1 0.000000 2 1
1782 1 0.000000 2 1
1783 16 16232.000000 7 9
1784 1 0.000000 2 1
1785 1 0.000000 2 1
1786 1 0.000000 2 1
1788 22 339460.000000 10 13
1789 2 50669.000000 3 2
1790 2 92875.000000 3 2
1791 5 193749.000000 2 1
1793 3 42967.000000 3 2
1794 7 122057.000000 7 6
1797 1 0.000000 2 1
1798 1 0.000000 2 1
1799 17 21658.000000 10 11
1802 1 0.000000 2 1
1803 1 0.000000 2 1
1804 8 85355.000000 3 2
1805 1 0.000000 2 1
1806 1 0.000000 2 1
1807 3 95020.000000 3 2
1808 1 0.000000 2 1
1809 3 101597.000000 2 1
1810 1 0.000000 2 1
1811 9 141363.000000 6 5
1812 4 761722.000000 3 2
1813 1 0.000000 2 1
1817 2 25840.000000 3 2
1819 3 36156.000000 3 2
1822 1 0.000000 2 1
1823 5 32948.000000 4 3
1825 1 0.000000 2 1
1826 2 3784.000000 3 2
1830 5 34166.000000 4 3
1831 9 520383.000000 5 5
1832 1 0.000000 2 1
1833 1 0.000000 2 1
1842 1 0.000000 2 1
1848 9 108382.000000 3 2
1850 4 91971.000000 3 2
1851 1 0.000000 2 1
1853 1 0.000000 2 1
1855 1 0.000000 2 1
1859 1 0.000000 2 1
1860 1 0.000000 2 1
1864 1 0.000000 2 1
1866 1 0.000000 2 1
1868 1 0.000000 2 1
1869 1 0.000000 2 1
1870 1 0.000000 2 1
1871 1 0.000000 2 1
1873 1 0.000000 2 1
1874 2 248.000000 2 1
1875 4 76272.000000 2 1
1877 1 0.000000 2 1
1880 1 0.000000 2 1
1881 1 0.000000 2 1
1882 2 90122.000000 3 2
1886 1 0.000000 2 1
1888 4 86945.000000 3 3
1893 2 62914.000000 3 2
1894 1 0.000000 2 1
1897 4 155689.000000 5 4
1906 2 6899.000000 3 2
